sample_id,image_id,relative_path,cell_line,condition,time_point_h,campaign,in_combine_set,image_width_px,image_height_px,sample_role,imagej_area_px2,imagej_width_px,imagej_wound_closure_percent,rater_1,rater_2,measurement_status,notes
gt-033,cytv-0285,29.06.22/H-LUT-0H/IMG_2882.jpg,HUVEC,Luteolin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-034,cytv-0276,29.06.22/H-LC-0H/IMG_2888.jpg,HUVEC,Luteolin + Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-035,cytv-0278,29.06.22/H-LC-0H/IMG_2890.jpg,HUVEC,Luteolin + Cisplatin,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-036,cytv-0280,29.06.22/H-LC-0H/IMG_2892.jpg,HUVEC,Luteolin + Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-037,cytv-0315,29.06.22/M-CİS-0H/IMG_2914.jpg,MDA-MB-231,Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-038,cytv-0317,29.06.22/M-CİS-0H/IMG_2916.jpg,MDA-MB-231,Cisplatin,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-039,cytv-0318,29.06.22/M-CİS-0H/IMG_2917.jpg,MDA-MB-231,Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-040,cytv-0319,29.06.22/M-K-0H/IMG_2894.jpg,MDA-MB-231,Control,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-041,cytv-0321,29.06.22/M-K-0H/IMG_2896.jpg,MDA-MB-231,Control,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-042,cytv-0323,29.06.22/M-K-0H/IMG_2898.jpg,MDA-MB-231,Control,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-043,cytv-0324,29.06.22/COMBİNE/M-K-0-24-48/IMG_2894.jpg,MDA-MB-231,Control,multi,29.06.22,True,1574,2100,primary_curated_preprocess,,,,,,pending,
gt-044,cytv-0332,29.06.22/COMBİNE/M-K-0-24-48/IMG_3058.jpg,MDA-MB-231,Control,multi,29.06.22,True,4032,3024,primary_curated_preprocess,,,,,,pending,
gt-045,cytv-0340,29.06.22/COMBİNE/M-K-0-24-48/MK-48H.jpg,MDA-MB-231,Control,multi,29.06.22,True,1800,1800,primary_clean_crop,13844,79.667,99.1801880758936,,,seeded_from_combine_excel,Seeded from 29.06.22/COMBİNE/M-K-0-24-48/ResultsMK.xlsx (explicit_label); use=primary_one_to_one
gt-046,cytv-0286,29.06.22/M-64F-0H/IMG_2905.jpg,MDA-MB-231,FDI-6 64 uM,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-047,cytv-0288,29.06.22/M-64F-0H/IMG_2907.jpg,MDA-MB-231,FDI-6 64 uM,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-048,cytv-0290,29.06.22/M-64F-0H/IMG_2909.jpg,MDA-MB-231,FDI-6 64 uM,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-049,cytv-0291,29.06.22/M-8F-0H/IMG_2899.jpg,MDA-MB-231,FDI-6 8 uM,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-050,cytv-0293,29.06.22/M-8F-0H/IMG_2901.jpg,MDA-MB-231,FDI-6 8 uM,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-051,cytv-0296,29.06.22/M-8F-0H/IMG_2904.jpg,MDA-MB-231,FDI-6 8 uM,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-052,cytv-0297,29.06.22/COMBİNE/M-8F-0H-24-48/IMG_2899.jpg,MDA-MB-231,FDI-6 8 uM,multi,29.06.22,True,1574,2100,primary_curated_preprocess,,,,,,pending,
gt-053,cytv-0305,29.06.22/COMBİNE/M-8F-0H-24-48/IMG_3068.jpg,MDA-MB-231,FDI-6 8 uM,multi,29.06.22,True,4032,3024,primary_curated_preprocess,,,,,,pending,
gt-054,cytv-0314,29.06.22/COMBİNE/M-8F-0H-24-48/M8F-48H.jpg,MDA-MB-231,FDI-6 8 uM,multi,29.06.22,True,1800,1800,primary_clean_crop,301709,0.531,45.146411260558594,,,seeded_from_combine_excel,Seeded from 29.06.22/COMBİNE/M-8F-0H-24-48/ResultsM8F.xls.xlsx (explicit_label); use=primary_one_to_one
gt-055,cytv-0347,29.06.22/M-LUT-0H/IMG_2910.jpg,MDA-MB-231,Luteolin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-056,cytv-0349,29.06.22/M-LUT-0H/IMG_2912.jpg,MDA-MB-231,Luteolin,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-057,cytv-0350,29.06.22/M-LUT-0H/IMG_2913.jpg,MDA-MB-231,Luteolin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-058,cytv-0341,29.06.22/M-LC-0H/IMG_2918.jpg,MDA-MB-231,Luteolin + Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-059,cytv-0343,29.06.22/M-LC-0H/IMG_2920.jpg,MDA-MB-231,Luteolin + Cisplatin,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-060,cytv-0346,29.06.22/M-LC-0H/IMG_2923.jpg,MDA-MB-231,Luteolin + Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
